Blues-Word	Blues-Count	Blues-Proportion	Country-Word	Country-Count	Country-Proportion	Electronic-Word	Electronic-Count	Electronic-Proportion	Folk-Word	Folk-Count	Folk-Proportion	International-Word	International-Count	International-Proportion	Jazz-Word	Jazz-Count	Jazz-Proportion	Latin-Word	Latin-Count	Latin-Proportion	Pop_Rock-Word	Pop_Rock-Count	Pop_Rock-Proportion	Rap-Word	Rap-Count	Rap-Proportion	Reggae-Word	Reggae-Count	Reggae-Proportion	RnB-Word	RnB-Count	RnB-Proportion
love	4	0,705%	littl	14	0,696%	we	11	0,651%	she	9	0,710%	eye	3	0,771%	buena	3	0,696%	if	11	0,596%	just	155	0,595%	they	31	0,480%	know	7	0,611%	want	18	0,699%
nobodi	4	0,705%	tell	14	0,696%	disgrac	10	0,592%	t	9	0,710%	gone	3	0,771%	con	3	0,696%	por	11	0,596%	oh	155	0,595%	an	29	0,449%	never	7	0,611%	on	17	0,660%
place	4	0,705%	way	14	0,696%	feel	10	0,592%	afraid	8	0,631%	has	3	0,771%	how	3	0,696%	we	11	0,596%	want	152	0,583%	are	29	0,449%	not	7	0,611%	all	15	0,583%
ride	4	0,705%	do	13	0,646%	of	10	0,592%	ca	8	0,631%	it	3	0,771%	mis	3	0,696%	en	10	0,542%	what	147	0,564%	if	29	0,449%	prove	7	0,611%	make	15	0,583%
road	4	0,705%	ca	12	0,597%	ritual	10	0,592%	there	8	0,631%	leav	3	0,771%	muy	3	0,696%	know	10	0,542%	up	140	0,537%	now	29	0,449%	well	7	0,611%	tell	15	0,583%
see	4	0,705%	come	12	0,597%	was	10	0,592%	will	8	0,631%	lie	3	0,771%	no	3	0,696%	the	10	0,542%	if	132	0,506%	would	29	0,449%	go	6	0,524%	when	15	0,583%
stand	4	0,705%	cri	12	0,597%	will	10	0,592%	go	7	0,552%	no	3	0,771%	run	3	0,696%	away	9	0,488%	out	132	0,506%	when	26	0,402%	out	6	0,524%	but	14	0,544%
there	4	0,705%	well	12	0,597%	breakin	9	0,533%	have	7	0,552%	oer	3	0,771%	se	3	0,696%	make	9	0,488%	now	115	0,441%	light	25	0,387%	see	6	0,524%	do	14	0,544%
train	4	0,705%	they	11	0,547%	feet	9	0,533%	heart	7	0,552%	out	3	0,771%	un	3	0,696%	não	9	0,488%	there	115	0,441%	nicht	25	0,387%	them	6	0,524%	go	14	0,544%
well	4	0,705%	when	11	0,547%	look	9	0,533%	hope	7	0,552%	taken	3	0,771%	will	3	0,696%	whi	9	0,488%	say	114	0,437%	shit	25	0,387%	think	6	0,524%	of	14	0,544%
all	3	0,529%	am	10	0,497%	me	9	0,533%	just	7	0,552%	them	3	0,771%	about	2	0,464%	be	8	0,433%	can	113	0,433%	down	24	0,372%	when	6	0,524%	two	14	0,544%
babi	3	0,529%	gonna	10	0,497%	take	9	0,533%	out	7	0,552%	way	3	0,771%	begun	2	0,464%	ella	8	0,433%	come	111	0,426%	see	24	0,372%	at	5	0,436%	up	14	0,544%
be	3	0,529%	world	10	0,497%	daß	8	0,474%	pleas	7	0,552%	as	2	0,514%	cabeza	2	0,464%	es	8	0,433%	got	110	0,422%	be	23	0,356%	but	5	0,436%	can	13	0,505%
callin	3	0,529%	bell	9	0,448%	love	8	0,474%	that	7	0,552%	aye	2	0,514%	can	2	0,464%	in	8	0,433%	with	109	0,418%	go	23	0,356%	come	5	0,436%	love	13	0,505%
cruel	3	0,529%	darl	9	0,448%	danc	7	0,414%	am	6	0,474%	babe	2	0,514%	could	2	0,464%	of	8	0,433%	make	104	0,399%	ihr	23	0,356%	do	5	0,436%	oh	13	0,505%
day	3	0,529%	for	9	0,448%	er	7	0,414%	bonni	6	0,474%	bir	2	0,514%	darl	2	0,464%	realli	8	0,433%	time	103	0,395%	about	22	0,341%	run	5	0,436%	that	13	0,505%
gin	3	0,529%	he	9	0,448%	have	7	0,414%	caus	6	0,474%	came	2	0,514%	del	2	0,464%	solo	8	0,433%	like	102	0,391%	du	22	0,341%	tough	5	0,436%	what	13	0,505%
good	3	0,529%	of	9	0,448%	if	7	0,414%	citi	6	0,474%	daughter	2	0,514%	end	2	0,464%	time	8	0,433%	go	99	0,380%	das	21	0,325%	tri	5	0,436%	dem	12	0,466%
gotta	3	0,529%	an	8	0,398%	late	7	0,414%	fold	6	0,474%	day	2	0,514%	esa	2	0,464%	un	8	0,433%	she	98	0,376%	follow	21	0,325%	what	5	0,436%	take	12	0,466%
how	3	0,529%	ever	8	0,398%	like	7	0,414%	has	6	0,474%	do	2	0,514%	forev	2	0,464%	was	8	0,433%	when	96	0,368%	music	21	0,325%	with	5	0,436%	there	12	0,466%
into	3	0,529%	get	8	0,398%	lost	7	0,414%	him	6	0,474%	done	2	0,514%	habrá	2	0,464%	about	7	0,379%	they	95	0,364%	out	21	0,325%	babylon	4	0,349%	world	12	0,466%
me	3	0,529%	molli	8	0,398%	never	7	0,414%	let	6	0,474%	father	2	0,514%	has	2	0,464%	aqui	7	0,379%	was	92	0,353%	yo	21	0,325%	be	4	0,349%	get	11	0,427%
might	3	0,529%	pick	8	0,398%	were	7	0,414%	wrong	6	0,474%	fear	2	0,514%	if	2	0,464%	could	7	0,379%	denk	90	0,345%	but	20	0,310%	drink	4	0,349%	girl	11	0,427%
peopl	3	0,529%	sleigh	8	0,398%	away	6	0,355%	your	6	0,474%	gentlemen	2	0,514%	just	2	0,464%	estou	7	0,379%	would	90	0,345%	just	20	0,310%	everyday	4	0,349%	how	11	0,427%
rememb	3	0,529%	take	8	0,398%	both	6	0,355%	at	5	0,395%	go	2	0,514%	know	2	0,464%	live	7	0,379%	get	89	0,341%	nach	20	0,310%	one	4	0,349%	know	11	0,427%
salt	3	0,529%	two	8	0,398%	but	6	0,355%	call	5	0,395%	good	2	0,514%	life	2	0,464%	mil	7	0,379%	feel	88	0,338%	es	19	0,294%	proof	4	0,349%	never	11	0,427%
their	3	0,529%	befor	7	0,348%	die	6	0,355%	eye	5	0,395%	got	2	0,514%	love	2	0,464%	sei	7	0,379%	way	88	0,338%	lead	19	0,294%	sober	4	0,349%	whole	11	0,427%
thing	3	0,529%	caus	7	0,348%	fake	6	0,355%	face	5	0,395%	lass	2	0,514%	mujer	2	0,464%	sit	7	0,379%	one	86	0,330%	make	19	0,294%	soil	4	0,349%	american	10	0,389%
took	3	0,529%	doin	7	0,348%	ist	6	0,355%	hide	5	0,395%	lay	2	0,514%	my	2	0,464%	there	7	0,379%	let	82	0,315%	someth	19	0,294%	sure	4	0,349%	caus	10	0,389%
truth	3	0,529%	hey	7	0,348%	much	6	0,355%	his	5	0,395%	light	2	0,514%	mí	2	0,464%	this	7	0,379%	see	82	0,315%	what	19	0,294%	thing	4	0,349%	him	10	0,389%
what	3	0,529%	let	7	0,348%	no	6	0,355%	now	5	0,395%	long	2	0,514%	never	2	0,464%	tri	7	0,379%	yeah	81	0,311%	back	18	0,279%	till	4	0,349%	key	10	0,389%
who	3	0,529%	live	7	0,348%	out	6	0,355%	ride	5	0,395%	oh	2	0,514%	our	2	0,464%	você	7	0,379%	give	75	0,288%	from	18	0,279%	up	4	0,349%	out	10	0,389%
will	3	0,529%	so	7	0,348%	she	6	0,355%	strong	5	0,395%	over	2	0,514%	pasa	2	0,464%	wait	7	0,379%	down	73	0,280%	let	18	0,279%	walk	4	0,349%	after	9	0,350%
wine	3	0,529%	time	7	0,348%	them	6	0,355%	take	5	0,395%	said	2	0,514%	puerta	2	0,464%	between	6	0,325%	away	72	0,276%	think	18	0,279%	way	4	0,349%	from	9	0,350%
with	3	0,529%	back	6	0,298%	&	5	0,296%	ask	4	0,316%	sen	2	0,514%	shall	2	0,464%	both	6	0,325%	how	72	0,276%	wie	18	0,279%	anoth	3	0,262%	was	9	0,350%
wound	3	0,529%	be	6	0,298%	brown	5	0,296%	cannot	4	0,316%	sheep	2	0,514%	si	2	0,464%	decis	6	0,325%	take	70	0,269%	peopl	17	0,263%	automat	3	0,262%	where	9	0,350%
yeah	3	0,529%	been	6	0,298%	can	5	0,296%	chorus	4	0,316%	south	2	0,514%	so	2	0,464%	dia	6	0,325%	here	69	0,265%	yall	17	0,263%	away	3	0,262%	alway	8	0,311%
at	2	0,353%	blue	6	0,298%	come	5	0,296%	do	4	0,316%	that	2	0,514%	solo	2	0,464%	entr	6	0,325%	thing	64	0,246%	über	17	0,263%	bad	3	0,262%	day	8	0,311%
away	2	0,353%	can	6	0,298%	from	5	0,296%	fli	4	0,316%	there	2	0,514%	sí	2	0,464%	faith	6	0,325%	ca	63	0,242%	der	16	0,248%	bar	3	0,262%	ghetto	8	0,311%
back	2	0,353%	go	6	0,298%	has	5	0,296%	give	4	0,316%	three	2	0,514%	tard	2	0,464%	hey	6	0,325%	from	63	0,242%	yeah	16	0,248%	can	3	0,262%	mani	8	0,311%
befor	2	0,353%	gypsi	6	0,298%	home	5	0,296%	gonna	4	0,316%	top	2	0,514%	vida	2	0,464%	how	6	0,325%	tri	62	0,238%	bounc	15	0,232%	chorus	3	0,262%	need	8	0,311%
blow	2	0,353%	him	6	0,298%	night	5	0,296%	got	4	0,316%	twenti	2	0,514%	alway	1	0,232%	nada	6	0,325%	babi	61	0,234%	he	15	0,232%	day	3	0,262%	our	8	0,311%
engin	2	0,353%	if	6	0,298%	sich	5	0,296%	leav	4	0,316%	week	2	0,514%	as	1	0,232%	o	6	0,325%	been	60	0,230%	know	15	0,232%	dream	3	0,262%	readi	8	0,311%
find	2	0,353%	know	6	0,298%	sound	5	0,296%	light	4	0,316%	were	2	0,514%	aun	1	0,232%	on	6	0,325%	world	60	0,230%	mich	15	0,232%	from	3	0,262%	tri	8	0,311%
from	2	0,353%	look	6	0,298%	tell	5	0,296%	overcom	4	0,316%	who	2	0,514%	ave	1	0,232%	porqu	6	0,325%	where	55	0,211%	stop	15	0,232%	fuck	3	0,262%	an	7	0,272%
get	2	0,353%	make	6	0,298%	wall	5	0,296%	talk	4	0,316%	your	2	0,514%	away	1	0,232%	puedo	6	0,325%	day	53	0,203%	want	15	0,232%	give	3	0,262%	come	7	0,272%
gonna	2	0,353%	no	6	0,298%	wish	5	0,296%	thee	4	0,316%	1	1	0,257%	aún	1	0,232%	secur	6	0,325%	heart	52	0,199%	caus	14	0,217%	him	3	0,262%	friend	7	0,272%
has	2	0,353%	open	6	0,298%	wo	5	0,296%	this	4	0,316%	alon	1	0,257%	babi	1	0,232%	up	6	0,325%	caus	51	0,196%	fuck	14	0,217%	his	3	0,262%	like	7	0,272%
he	2	0,353%	pride	6	0,298%	yellow	5	0,296%	up	4	0,316%	are	1	0,257%	been	1	0,232%	us	6	0,325%	tell	49	0,188%	got	14	0,217%	hit	3	0,262%	say	7	0,272%
his	2	0,353%	soul	6	0,298%	babi	4	0,237%	walk	4	0,316%	arm	1	0,257%	bird	1	0,232%	way	6	0,325%	und	49	0,188%	have	14	0,217%	hour	3	0,262%	time	7	0,272%
livin	2	0,353%	troubl	6	0,298%	be	4	0,237%	way	4	0,316%	away	1	0,257%	blood	1	0,232%	what	6	0,325%	back	48	0,184%	will	14	0,217%	how	3	0,262%	way	7	0,272%
lord	2	0,353%	with	6	0,298%	befor	4	0,237%	again	3	0,237%	began	1	0,257%	cada	1	0,232%	again	5	0,271%	ich	48	0,184%	at	13	0,201%	if	3	0,262%	with	7	0,272%
mean	2	0,353%	anoth	5	0,249%	chang	4	0,237%	bad	3	0,237%	bi	1	0,257%	ceas	1	0,232%	amor	5	0,271%	everybodi	47	0,180%	by	13	0,201%	judgment	3	0,262%	been	6	0,233%
old	2	0,353%	better	5	0,249%	could	4	0,237%	by	3	0,237%	bright	1	0,257%	chica	1	0,232%	apart	5	0,271%	whi	47	0,180%	den	13	0,201%	keep	3	0,262%	best	6	0,233%
satisfi	2	0,353%	chang	5	0,249%	dream	4	0,237%	countri	3	0,237%	but	1	0,257%	come	1	0,232%	ca	5	0,271%	an	46	0,176%	man	13	0,201%	long	3	0,262%	could	6	0,233%
stay	2	0,353%	day	5	0,249%	ein	4	0,237%	easi	3	0,237%	de	1	0,257%	como	1	0,232%	doctor	5	0,271%	well	46	0,176%	polit	13	0,201%	now	3	0,262%	eight	6	0,233%
they	2	0,353%	feel	5	0,249%	everyth	4	0,237%	easier	3	0,237%	east	1	0,257%	conmigo	1	0,232%	eu	5	0,271%	wild	46	0,176%	say	13	0,201%	oh	3	0,262%	escap	6	0,233%
this	2	0,353%	feelin	5	0,249%	explain	4	0,237%	everyon	3	0,237%	ever	1	0,257%	cosa	1	0,232%	fall	5	0,271%	good	45	0,173%	as	12	0,186%	or	3	0,262%	face	6	0,233%
time	2	0,353%	fun	5	0,249%	familiar	4	0,237%	from	3	0,237%	fair	1	0,257%	day	1	0,232%	got	5	0,271%	life	45	0,173%	can	12	0,186%	over	3	0,262%	five	6	0,233%
wanna	2	0,353%	hear	5	0,249%	found	4	0,237%	get	3	0,237%	fell	1	0,257%	dice	1	0,232%	hand	5	0,271%	run	45	0,173%	cmon	12	0,186%	pile	3	0,262%	four	6	0,233%
when	2	0,353%	home	5	0,249%	into	4	0,237%	gone	3	0,237%	fifti	1	0,257%	dream	1	0,232%	huh	5	0,271%	stop	45	0,173%	ever	12	0,186%	routin	3	0,262%	hard	6	0,233%
whistl	2	0,353%	nobodi	5	0,249%	keep	4	0,237%	hard	3	0,237%	frown	1	0,257%	e	1	0,232%	lo	5	0,271%	too	44	0,169%	feel	12	0,186%	same	3	0,262%	or	6	0,233%
window	2	0,353%	now	5	0,249%	more	4	0,237%	head	3	0,237%	gown	1	0,257%	espera	1	0,232%	love	5	0,271%	find	43	0,165%	hand	12	0,186%	saw	3	0,262%	place	6	0,233%
&	1	0,176%	ride	5	0,249%	nicht	4	0,237%	home	3	0,237%	green	1	0,257%	est	1	0,232%	mis	5	0,271%	pop	43	0,165%	mit	12	0,186%	someth	3	0,262%	realli	6	0,233%
about	1	0,176%	right	5	0,249%	other	4	0,237%	how	3	0,237%	had	1	0,257%	esta	1	0,232%	object	5	0,271%	who	43	0,165%	no	12	0,186%	stack	3	0,262%	see	6	0,233%
again	1	0,176%	still	5	0,249%	room	4	0,237%	know	3	0,237%	head	1	0,257%	esto	1	0,232%	será	5	0,271%	die	42	0,161%	smell	12	0,186%	still	3	0,262%	three	6	0,233%
ah	1	0,176%	than	5	0,249%	taken	4	0,237%	lie	3	0,237%	hear	1	0,257%	estoy	1	0,232%	should	5	0,271%	ever	42	0,161%	alon	11	0,170%	tell	3	0,262%	true	6	0,233%
ai	1	0,176%	this	5	0,249%	thing	4	0,237%	long	3	0,237%	home	1	0,257%	está	1	0,232%	su	5	0,271%	noth	42	0,161%	ist	11	0,170%	than	3	0,262%	about	5	0,194%
anni	1	0,176%	was	5	0,249%	this	4	0,237%	man	3	0,237%	linger	1	0,257%	everi	1	0,232%	uh	5	0,271%	think	42	0,161%	mehr	11	0,170%	they	3	0,262%	big	5	0,194%
b	1	0,176%	where	5	0,249%	turn	4	0,237%	never	3	0,237%	lord	1	0,257%	falta	1	0,232%	vida	5	0,271%	live	41	0,157%	mir	11	0,170%	want	3	0,262%	divin	5	0,194%
boy	1	0,176%	wild	5	0,249%	use	4	0,237%	oer	3	0,237%	loud	1	0,257%	favor	1	0,232%	ya	5	0,271%	old	41	0,157%	more	11	0,170%	was	3	0,262%	fli	5	0,194%
brave	1	0,176%	ahhh	4	0,199%	where	4	0,237%	oh	3	0,237%	man	1	0,257%	find	1	0,232%	yo	5	0,271%	same	41	0,157%	start	11	0,170%	whole	3	0,262%	for	5	0,194%
ca	1	0,176%	anyth	4	0,199%	whi	4	0,237%	over	3	0,237%	middl	1	0,257%	fli	1	0,232%	all	4	0,217%	through	41	0,157%	take	11	0,170%	will	3	0,262%	forev	5	0,194%
cat	1	0,176%	at	4	0,199%	world	4	0,237%	said	3	0,237%	milk	1	0,257%	free	1	0,232%	attent	4	0,217%	could	40	0,153%	tell	11	0,170%	would	3	0,262%	heart	5	0,194%
caus	1	0,176%	friend	4	0,199%	ah	3	0,178%	stay	3	0,237%	misti	1	0,257%	fuerza	1	0,232%	dream	4	0,217%	eye	40	0,153%	then	11	0,170%	alway	2	0,175%	help	5	0,194%
cop	1	0,176%	guess	4	0,199%	al	3	0,178%	taken	3	0,237%	my	1	0,257%	get	1	0,232%	estoy	4	0,217%	our	40	0,153%	through	11	0,170%	anymor	2	0,175%	home	5	0,194%
could	1	0,176%	life	4	0,199%	around	3	0,178%	them	3	0,237%	night	1	0,257%	ghost	1	0,232%	go	4	0,217%	then	40	0,153%	tri	11	0,170%	around	2	0,175%	kingdom	5	0,194%
crap	1	0,176%	man	4	0,199%	awak	3	0,178%	town	3	0,237%	not	1	0,257%	grand	1	0,232%	her	4	0,217%	gonna	39	0,150%	von	11	0,170%	been	2	0,175%	live	5	0,194%
crime	1	0,176%	night	4	0,199%	blue	3	0,178%	tri	3	0,237%	off	1	0,257%	ha	1	0,232%	ir	4	0,217%	leav	39	0,150%	wanna	11	0,170%	believ	2	0,175%	mama	5	0,194%
did	1	0,176%	oh	4	0,199%	boy	3	0,178%	would	3	0,237%	one	1	0,257%	have	1	0,232%	las	4	0,217%	mind	39	0,150%	ya	11	0,170%	blind	2	0,175%	matter	5	0,194%
door	1	0,176%	or	4	0,199%	bring	3	0,178%	ai	2	0,158%	own	1	0,257%	hay	1	0,232%	mother	4	0,217%	as	38	0,146%	doch	10	0,155%	booz	2	0,175%	number	5	0,194%
easi	1	0,176%	say	4	0,199%	chanc	3	0,178%	alreadi	2	0,158%	past	1	0,257%	hoy	1	0,232%	muy	4	0,217%	did	38	0,146%	mal	10	0,155%	bottl	2	0,175%	outsid	5	0,194%
face	1	0,176%	some	4	0,199%	color	3	0,178%	alway	2	0,158%	rang	1	0,257%	idea	1	0,232%	night	4	0,217%	keep	38	0,146%	mein	10	0,155%	choos	2	0,175%	over	5	0,194%
game	1	0,176%	think	4	0,199%	darl	3	0,178%	an	2	0,158%	rememb	1	0,257%	into	1	0,232%	noch	4	0,217%	look	38	0,146%	niggaz	10	0,155%	dawn	2	0,175%	own	5	0,194%
goin	1	0,176%	true	4	0,199%	down	3	0,178%	as	2	0,158%	rider	1	0,257%	joy	1	0,232%	para	4	0,217%	at	37	0,142%	than	10	0,155%	dust	2	0,175%	run	5	0,194%
gun	1	0,176%	while	4	0,199%	earli	3	0,178%	aye	2	0,158%	right	1	0,257%	junto	1	0,232%	pasa	4	0,217%	end	37	0,142%	there	10	0,155%	even	2	0,175%	somewher	5	0,194%
hand	1	0,176%	without	4	0,199%	es	3	0,178%	babe	2	0,158%	sang	1	0,257%	le	1	0,232%	pelo	4	0,217%	face	37	0,142%	way	10	0,155%	ever	2	0,175%	them	5	0,194%
here	1	0,176%	alon	3	0,149%	float	3	0,178%	bed	2	0,158%	saw	1	0,257%	let	1	0,232%	posso	4	0,217%	show	37	0,142%	whi	10	0,155%	feel	2	0,175%	tonight	5	0,194%
hope	1	0,176%	anymor	3	0,149%	get	3	0,178%	came	2	0,158%	set	1	0,257%	loco	1	0,232%	sabe	4	0,217%	talk	37	0,142%	zu	10	0,155%	forc	2	0,175%	travel	5	0,194%
hot	1	0,176%	as	3	0,149%	had	3	0,178%	care	2	0,158%	shame	1	0,257%	los	1	0,232%	si	4	0,217%	were	37	0,142%	al	9	0,139%	get	2	0,175%	ca	4	0,155%
in	1	0,176%	away	3	0,149%	hate	3	0,178%	choic	2	0,158%	sleev	1	0,257%	may	1	0,232%	silent	4	0,217%	about	36	0,138%	bitch	9	0,139%	gun	2	0,175%	cuz	4	0,155%
insid	1	0,176%	broken	3	0,149%	man	3	0,178%	daughter	2	0,158%	so	1	0,257%	ment	1	0,232%	sí	4	0,217%	around	36	0,138%	ca	9	0,139%	hous	2	0,175%	done	4	0,155%
jame	1	0,176%	care	3	0,149%	noth	3	0,178%	day	2	0,158%	strong	1	0,257%	mismo	1	0,232%	tango	4	0,217%	tonight	36	0,138%	face	9	0,139%	lamp	2	0,175%	gonna	4	0,155%
keep	1	0,176%	crown	3	0,149%	nur	3	0,178%	doe	2	0,158%	summer	1	0,257%	morn	1	0,232%	ti	4	0,217%	wo	36	0,138%	here	9	0,139%	listen	2	0,175%	great	4	0,155%
kill	1	0,176%	die	3	0,149%	one	3	0,178%	done	2	0,158%	they	1	0,257%	mucho	1	0,232%	uno	4	0,217%	believ	35	0,134%	hook	9	0,139%	look	2	0,175%	hell	4	0,155%
killin	1	0,176%	downtown	3	0,149%	onli	3	0,178%	ever	2	0,158%	thi	1	0,257%	mundo	1	0,232%	want	4	0,217%	her	35	0,134%	nigga	9	0,139%	more	2	0,175%	into	4	0,155%
left	1	0,176%	dress	3	0,149%	parad	3	0,178%	father	2	0,158%	voic	1	0,257%	más	1	0,232%	when	4	0,217%	right	35	0,134%	nur	9	0,139%	much	2	0,175%	lie	4	0,155%
